unit_id,insurer,document_label,source_file,page,question_text,auto_codes,coder1_final,coder2_final,consensus_code,notes
115,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,"IS NAMED INSURED ENGAGED IN ANY OF THE FOLLOWING BUSINESSES? Adult Content NO YES Payment Processing NO YES Cryptocurrency or Blockchain NO YES Managed Service Provider (MSP), Managed NO YES Gambling NO YES Security Service Provider (MSSP), or remote network administration services provider * Expected over the next 12 months Loss History?",REVIEW_NEEDED,NA,NA,NA,NA
116,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,"1 During the past three years, did Named Insured experience a cyber incident, claim or loss, whether insured or not,",REVIEW_NEEDED,NA,NA,NA,NA
117,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,1a the number of claims or incidents;,REVIEW_NEEDED,NA,NA,NA,NA
118,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,"1b the total claims or loss amount, including incident response expenses; $",REVIEW_NEEDED,NA,NA,NA,NA
119,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,"1c whether any single claim amount or cyber incident loss was greater than $25,000; $",REVIEW_NEEDED,NA,NA,NA,NA
120,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,1d a description of each cyber incident or claim and the steps taken to remediate the issue(s),Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
121,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"3 Does Named Insured implement encryption on laptop computers, desktop computers, and other portable media devices?",Encryption and Data Protection,NA,NA,NA,NA
122,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"4 Does Named Insured collect, process, store, transmit, or have access to any Payment Card Information (PCI), Personally NO YES Identifiable Information (PII), or Protected Health Information (PHI) other than employees of Named Insured?",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
123,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"4a (If Yes) What is the estimated annual volume of payment card transactions (credit cards, debit cards, etc.)?",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
124,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"4b (If Yes) How many PII or PHI records does Named Insured collect, process, store, transmit, or have access to?",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
125,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,5 Does Named Insured maintain at least weekly backups of all sensitive or otherwise critical data and all critical NO YES N/A business systems offline or on a separate network?,Backups and Recovery,NA,NA,NA,NA
126,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,6 For which of the following services do you enforce Multi-Factor Authentication (MFA)?,Multi-Factor Authentication,NA,NA,NA,NA
127,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,Do you enforce multi-factor authentication (MFA) for email?,Multi-Factor Authentication,NA,NA,NA,NA
128,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,Do you enforce multi-factor authentication (MFA) for virtual private network (VPN) access?,Multi-Factor Authentication,NA,NA,NA,NA
129,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,Do you enforce multi-factor authentication (MFA) for remote desktop protocol (RDP) or other remote access?,Endpoint and Network Protection; Multi-Factor Authentication,NA,NA,NA,NA
130,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,Do you enforce multi-factor authentication (MFA) for network or cloud administration and other privileged user accounts?,Multi-Factor Authentication,NA,NA,NA,NA
131,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"7a Funds transfer requests (ACH, wire, etc.) before processing a request in excess of $5,000?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
132,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"7b Funds transfer requests (ACH, wire, etc.) before processing a request in excess of $25,000?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
133,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"7c Any request to change banking details (ACH, wire, payroll distribution, etc.)?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
134,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,3,"44 Montgomery Street, Suite 4210, San Francisco, CA 94104 coalitioninc.com See appendix for list of applicable licenses Security Controls (continued)",REVIEW_NEEDED,NA,NA,NA,NA
135,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,3,"10 Within the last 3 years has Named Insured been subject to any complaints concerning the content NO YES N/A of its website, advertising materials, social media, or other publications?",Media and Content Governance,NA,NA,NA,NA
136,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,3,11 Does Named Insured enforce procedures to remove content (including third party content) that may NO YES N/A infringe or violate any intellectual property or privacy right?,REVIEW_NEEDED,NA,NA,NA,NA
137,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,1,"Does your business have a website? Yes No If yes, please list primary website address or domain: And, is your business’ email hosted through this web domain?",REVIEW_NEEDED,NA,NA,NA,NA
138,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,1,"2. Nature of Operations As part of your business’ operations, is there engagement in any service or activity involving or similar to the following? Yes No - Adult media or entertainment - Debt collection services - Cryptocurrency or blockchain technology - Payment processing services - Cannabis - Weapons, explosives or ammunition - Gambling - Data aggregator, broker or warehouse",REVIEW_NEEDED,NA,NA,NA,NA
139,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,2,"3. Revenue If part of your business’ operations involves managing financial investments for others, please answer the following: Most Recent Fiscal Year Assets Under Management",REVIEW_NEEDED,NA,NA,NA,NA
140,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,2,"If yes, is the parent company domiciled outside the United States? Yes No Has any applicant experienced within the past 12 months, or does any applicant anticipate experiencing in the next 12 months, a merger, acquisition, sale of any assets or similar transaction?",REVIEW_NEEDED,NA,NA,NA,NA
141,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,2,4. Cybersecurity Function & Contact Person,REVIEW_NEEDED,NA,NA,NA,NA
142,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,2,Does the Applicant Company currently purchase Cyber coverage?,REVIEW_NEEDED,NA,NA,NA,NA
143,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,2,"If yes, provide details of current Cyber coverage: $ $ $ $ $ $",REVIEW_NEEDED,NA,NA,NA,NA
144,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"6. Data, Privacy & Media Data Inventory",REVIEW_NEEDED,NA,NA,NA,NA
145,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"Is your business’ critical data regularly backed up? No Yes, weekly Yes,?",REVIEW_NEEDED,NA,NA,NA,NA
146,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"If yes, were such trademarks screened and cleared for infringement?",Media and Content Governance,NA,NA,NA,NA
147,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,7. Security & Controls MFA,Multi-Factor Authentication,NA,NA,NA,NA
148,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"Is Multi-Factor Authentication (MFA) required for ALL remote access to your business’ network? Including cloud-hosted, on-premises and via Virtual Private Networks (VPNs). Remote Access Not Permitted Unknown No Yes User No Device SMSRemote ID Based or and App Access MFA Strong BasedEnabled Password MFA?",Multi-Factor Authentication,NA,NA,NA,NA
149,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,Is MFA required for access to email? Yes No No web-based email Funds Transfer Controls Do the applicants all have a dual authentication protocol for confirming all funds transfer requests or account information changes from a vendor/partner through a secondary method of communication Yes No before the account information is changed or a funds transfer request is carried out?,Funds Transfer and Social Engineering Controls; Multi-Factor Authentication,NA,NA,NA,NA
150,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,Does any applicant accept fund transfer requests from customers?,REVIEW_NEEDED,NA,NA,NA,NA
151,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"If yes, is the funds transfer instruction validated by a method other than the original means of request? Yes No For example, if the request is made by email, a follow up phone call is made to confirm that the supplier or vendor made the original request.",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
152,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,4,7. Security & Controls (continued) Endpoint Protection,Endpoint and Network Protection,NA,NA,NA,NA
153,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,4,"Identify all places where antimalware, antivirus and/or endpoint detection is running for your business: Computers Yes No Unknown Networks Yes No Unknown Mobile Devices?",Encryption and Data Protection; Endpoint and Network Protection,NA,NA,NA,NA
154,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,4,Is there an Endpoint Detection and Response (EDR) or Managed Detection and Response (MDR) product in place? Yes No Unknown SentinelOne VMware Trend Trellix Symantec Sophos XDR Microsoft Harmony Cynet CrowdStrike Cortex Cisco Micro AutoXDR Endpoint Other Secure Intercept Carbon Defender Endpoint Advanced XDR by Falcon Singularity Endpoint Palo Detection Black X for Advanced Alto Threat Endpoint Cloud Platform andProtection Response Email Security?,Email Security; Endpoint and Network Protection,NA,NA,NA,NA
155,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,4,Identify what email security controls your business has in place for incoming emails: Secure Email Gateway (SEG) Yes No Unknown Other Secure SpamTitan Sophos Proofpoint Mimecast Microsoft Intermedia Cisco Barracuda Appriver Defender Screening for malicious attachments Yes No Unknown Screening for malicious links Yes No Unknown Tagging emails from external senders Yes No Unknown Never At Least Monthly Annually Quarterly?,Email Security; Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
156,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,4,"8. Loss History During the past three years, has any applicant experienced any cyber incident (including claims, cyber attacks, cyber extortion demands, privacy breaches or system failures)?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
157,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,4,"If yes to either question above, has the Applicant Company reported this incident, knowledge or information to their current cyber carrier? Yes No Please use this space to clarify any answers above that may require additional detail and any corrective measures taken to avoid similar incidents in the future.",REVIEW_NEEDED,NA,NA,NA,NA
